,Name,ID,Nearest Town,County,,
105,Pine,1000100,Finlayson,Aitkin,,
117,Rice,1000500,Tamarack,Aitkin,,
41,Douglas,1000900,Tamarack,Aitkin,,
100,Nelson,1001000,Tamarack,Aitkin,,
128,Savanna,1001400,McGregor,Aitkin,,
134,Shumway,1001500,Tamarack,Aitkin,,
143,Stony,1001700,Balsam,Aitkin,,
183,Wolf,1001900,Tamarack,Aitkin,,
47,Floodwood Pond,1002100,Hartley Spur,Aitkin,,
67,Island,1002200,Tamarack,Aitkin,,
121,Round,1002300,Tamarack,Aitkin,,
90,Loon,1002400,McGregor,Aitkin,,
132,Sheriff,1002700,Lawler,Aitkin,,
141,Starvation,1002800,East Lake,Aitkin,,
98,Mud,1002900,Grayling,Aitkin,,
1,Anderson,1003100,Sheshebee,Aitkin,,
22,Camp,1003200,Tamarack,Aitkin,,
94,Minnewawa,1003300,McGregor,Aitkin,,
65,Horseshoe,1003400,Tamarack,Aitkin,,
99,Mud,1003500,Minnewawa,Aitkin,,
177,Wakefield,1003600,Jacobson,Aitkin,,
116,Remote,1003800,McGregor,Aitkin,,
0,Aitkin,1004000,Libby,Aitkin,,
52,Glacier,1004200,Balsam,Aitkin,,
15,Blackface,1004500,Ball Bluff,Aitkin,,
3,Ball Bluff,1004600,Jacobson,Aitkin,,
87,Long,1004700,Ball Bluff,Aitkin,,
80,Little Blackface,1004800,Ball Bluff,Aitkin,,
8,Bay,1004900,Jacobson,Aitkin,,
114,Rat House,1005300,Ball Bluff,Aitkin,,
19,Boot,1005500,Jacobson,Aitkin,,
34,Cutaway,1005600,Balsam,Aitkin,,
79,Little Ball Bluff,1005700,Jacobson,Aitkin,,
176,Vanduse,1005800,Jacobson,Aitkin,,
58,Hay,1005900,Jacobson,Aitkin,,
127,Sandy River,1006000,Minnewawa,Aitkin,,
48,Flowage,1006100,Minnewawa,Aitkin,,
12,Big Sandy,1006200,McGregor,Aitkin,,
4,Bass,1006300,McGregor,Aitkin,,
9,Bear,1006400,McGrath,Aitkin,,
27,Cedar,1006500,McGrath,Aitkin,,
108,Porcupine,1006600,Dads Corner,Aitkin,,
118,Rice,1006700,Thor,Aitkin,,
92,Mandy,1006800,East Lake,Aitkin,,
109,Portage,1006900,Kimberly,Aitkin,,
122,Round,1007000,McGregor,Aitkin,,
36,Davis,1007100,,Aitkin,,
37,Davis (Main Bay),1007101,McGregor,Aitkin,,
142,Steamboat,1007102,McGregor,Aitkin,,
120,Rock,1007200,McGregor,Aitkin,,
5,Bass,1007300,McGregor,Aitkin,,
155,Turner,1007400,McGregor,Aitkin,,
126,Sanders,1007600,Libby,Aitkin,,
