lake_id,center_utm_x,center_utm_y
"45000200",280775.96876218,5358654.94699591
"62006702",484220.92287941,4990934.6608687
"39000202",373691.92638761,5412719.02643918
"69047000",553993.92609274,5344049.15853972
"21022801",298704.98565208,5091858.02404375
"21002900",329450.62397948,5089821.10463913
"31054600",455426.78644936,5297619.72108168
"21022802",298462.04331255,5091606.95870727
"60021700",268484.70651207,5276514.13464434
"69020800",575500.65510508,5336616.006262
"38021100",641771.75987529,5337939.60829732
"69022400",566293.16128128,5352141.91301135
"69018100",576941.84905695,5317833.0204067
"69075700",525134.3112554,5360476.46386224
"16063300",653659.61679365,5343094.28656493
"29029600",344286.1903486,5224977.35921492
"18043200",430489.10805425,5145745.08157274
"38010200",647284.36540873,5308664.47832297
"56080300",259041.16278109,5114137.30393519
"77018400",340834.38847103,5074320.59211939
"31090200",409132.98139558,5268275.90953934
"73045600",335954.01524658,5045612.68712905
"01031900",442984.81638537,5144874.6691575
"77000600",369456.24854064,5077579.9422529
"19000501",502402.77171474,4956418.51189948
"27013314",449609.45710402,4976917.61741138
"05000401",417645.94999162,5047224.9021994
"13003201",513316.32999985,5028234.17839901
"13004101",508033.93427796,5023471.00533383
"38081300",589741.36603887,5325935.54547591
"37004601",269905.62862103,4993684.67481223
"73015700",380398.93045008,5031469.90602347
"13006902",493346.58163508,5059396.54623717
"27013302",456383.22162974,4976370.85878641
"32005707",319778.78223718,4843807.96931948
"28000199",641000.39526119,4824557.78220041
"79000199",588069.41695146,4898208.21450606
"85001399",601220.09872538,4886128.5741441
"25001799",522673.702467,4948460.98748584
"69037600",562214.70655238,5261447.86665835
"27096400",447815.4060502,4971342.27463943
"73056300",389442.2826112,5044999.2516548
"26000200",283265.25084611,5104256.08771915
"33005700",484937.97201397,5100977.49136088
"69074400",526358.2671822,5317281.7844567
"69099400",525969.98354175,5259017.55926423
"03072600",293315.31195038,5198148.52881941
"27040700",447107.18571641,4998903.87297053
"27058100",468019.49826676,4987462.46274452
"38053200",619948.9258295,5324257.38411676
"27075700",465066.30145602,4977736.19690293
"29052700",346971.99717392,5220144.34305316
"16004100",711259.66610261,5327126.0200161
"03015300",307277.69806993,5200533.60892781
"69084500",500978.56425762,5368224.99312438
"69069400",498405.31772285,5381233.71355346
"82000100",518033.14688564,4975298.08791006
"58000200",554370.53266766,5132372.27001847
"06031000",230267.76432155,5040753.54886794
"03030800",289478.14817625,5212046.84802208
"27055200",465459.91738906,4996045.2481622
"19024200",495245.98724807,4967372.23494741
"69037300",562848.69312395,5212490.91145837
"70026700",473547.85318514,4951698.75340488
"77023900",370288.47823006,5123205.76879425
"38009000",640585.19449082,5312846.50001574
"02033400",469343.3162468,5012424.02751729
"38039600",628107.42556982,5296798.34819098
"16052400",664202.40090798,5314581.88001567
"44013800",292371.98209818,5247582.21012827
"47004902",388093.75534063,4981138.00497003
"69012100",578120.1817655,5342516.54796738
"70002600",467367.14956443,4953371.38800801
