dowlknum,lake_class
10000100,0
10000200,24
10000300,0
10000400,0
10000500,30
10000600,24
10000700,42
10000800,0
10000900,24
10001000,30
10001100,30
10001200,24
10001300,38
10001400,40
10001500,24
10001600,0
10001700,0
10001800,24
10001900,24
10002000,0
10002100,0
10002200,0
10002300,0
10002400,0
10002500,0
10002600,0
10002700,0
10002800,30
10002900,43
10003000,0
10003100,0
10003200,0
10003300,0
10003400,0
10003500,0
10003600,0
10003700,0
10003800,0
10003900,0
10004000,0
10004100,24
10004200,38
10004300,0
10004301,0
10004302,0
10004400,24
10004401,0
10004402,0
10004500,24
10004600,30
10004700,40
10004800,24
10004801,24
10004802,24
10004900,0
10005000,0
10005100,30
10005200,30
10005300,24
10005400,0
10005500,0
10005600,30
10005700,0
10005800,0
10005900,27
10006000,0
10006100,0
10006200,0
10006300,0
10006400,0
10006500,0
10006600,0
10006700,0
10006800,0
10006900,0
10007000,0
10007100,0
10007200,0
10007300,0
10007400,0
10007500,0
10007600,0
10007700,0
10007800,0
10007900,0
10008000,0
10008100,0
10008200,0
10008300,0
10008400,30
10008500,0
10008600,0
10008700,0
10008800,24
10008900,43
10009000,0
10009100,0
10009200,0
10009300,42
10009400,0
10009500,43
10009600,0
10009700,0
10009800,0
10009900,0
10010000,0
10010100,0
10010200,0
10010300,0
10010400,0
10010500,0
10010600,0
10010700,0
10010800,0
10010900,0
10011000,0
10011100,0
10011200,0
10011300,0
10011400,0
10011500,0
10011600,0
10011700,0
10011800,0
10011900,0
10012000,0
10012100,43
10012200,0
10012300,0
10012400,0
10012500,0
10012600,0
10012700,0
10012800,0
10012900,0
10013000,0
10013100,0
10013200,0
10013300,0
10013400,0
10013500,0
10013600,0
10013700,0
10013800,0
10013900,0
10014000,0
10014100,0
10014200,0
10014300,0
10014400,0
10014500,0
10014600,0
10014700,0
10014800,0
10014900,0
10015000,0
10015100,0
10015200,0
10015300,0
10015400,0
10015500,0
10015600,0
10015700,0
10015800,0
10015900,0
10016000,0
10016100,0
10016101,0
10016102,0
10016103,0
10016104,0
10016107,0
10016108,0
10016109,0
10016110,0
10016111,0
10016112,0
10016113,0
10016114,0
10016115,0
10016200,0
10016600,0
10016700,0
10016800,0
10016900,0
10017000,0
10017200,0
10017300,0
10017400,0
10017500,0
10017600,0
10017700,0
10017800,0
10018000,0
10018100,0
10018400,0
10018600,0
10018700,0
10018800,0
10018900,0
10019000,0
10019100,0
10019200,0
10019300,0
10019400,0
10019500,0
10019600,0
10019700,0
10019800,0
10020000,0
10020001,0
10020002,0
10020100,0
