lake_id,area,littoral_area,shoreLength,mean_depth,max_depth,avg_clarity
01000100,377.76,96,4.95,20,28,6.4
01000900,77.83,44,2.48,14,39,N/A
01001400,85.59,63,2.12,13,23,3.8
01001500,74.18,28,1.57,N/A,23,6.8
01001900,173.43,161,2.32,N/A,31,1.5
01002200,243.67,194,4.81,N/A,25,N/A
01002300,553.5,375,3.68,N/A,27,16.7
01002400,34.19,22,1.14,N/A,21,4.0
01002700,88.37,44,1.78,N/A,80,10.0
01002800,67.2,44,2.79,12,32,N/A
01003100,91.34,83,1.88,3,16,N/A
01003300,"2,351.27","2,286",18.58,8.2,21,4.6
01003400,240.06,240.06,3.72,7,12,2.8
01003600,163.92,81,3.35,13,69,5.0
01003800,133.66,124,4.17,6,47,6.8
01004000,658.82,453,13.59,N/A,35,6.0
01004200,134.98,59,3.19,N/A,60,6.5
01004500,191.8,170,3.5,N/A,18,N/A
01004600,168.64,32,2.71,25,78,15.3
01004900,35.16,23.49,1.16,N/A,36,N/A
01005500,79.47,39,2.03,N/A,67,7.5
01005600,112.73,70,2.17,11,24,N/A
01005700,37.25,12,1.57,N/A,49,14.2
01005800,239.51,189,5.71,8.2,27,13.0
01005900,128.88,57,2.12,14,32,5.0
01006200,"6,124.88","3,085",56.98,N/A,84,4.5
01006300,89.13,55,1.57,N/A,42,N/A
01006400,123.61,93,2.56,10,60,N/A
01006500,249.25,215,3.67,8,18,N/A
01006700,"3,698.9","3,698.88",11.3,N/A,4.5,4.0
01006900,372.44,313,5.12,8,18,5.0
01007000,185.04,65,2.31,N/A,52,7.2
01007101,76.5,18,2.56,N/A,32,N/A
01007102,59.52,38,2.41,N/A,21,N/A
01007200,341.48,341.48,5.33,N/A,13,4.3
01007300,56.98,16,1.43,N/A,58,4.0
01007400,63.23,49,1.46,8,21,6.3
01007700,431.31,389,4.68,N/A,21,6.0
01007800,68.2,62,1.58,N/A,28,N/A
01008300,67.24,25,2,16,40,N/A
01008700,415.87,267,4.07,N/A,45,11.3
01008900,434.72,120,5.48,30,116,11.6
01009100,211.61,77,4.62,19,51,10.2
01009200,271.54,271.54,2.95,5,5,N/A
01009300,573.5,363,5.32,6,24,15.2
01009600,597.66,256,4.14,19,48,9.2
01009900,711.9,292,8.68,18,44,6.2
01010000,114.07,38.8,2.49,18,38,N/A
01010100,34.66,30.5,1.57,4,42,N/A
01010200,348.86,106,3.59,20,39,12.0
01010400,149.26,61,2.91,N/A,37,8.5
01010500,318.83,314.48,3.62,6,15,2.8
01010900,54.95,17.8,1.32,23,84,15.8
01011500,435.63,412,4.25,7,17,6.7
01011600,137.25,81,1.98,8,31,13.5
01011700,418.17,272,5.29,N/A,29,9.4
01011800,16.94,16.94,0.69,N/A,23,N/A
01012000,170,89,2.45,N/A,40,N/A
01012200,25.45,14,0.79,N/A,32,N/A
01012300,519.52,389,7.92,9,25,6.0
01012500,433.49,148,5.64,N/A,60,22.4
01012600,46.27,31,1.12,N/A,28,N/A
01012900,405.82,219,4.03,N/A,37,8.4
01013200,143.28,88,3.55,N/A,42,9.3
01013600,667.7,292,5,N/A,38,5.0
01013700,634.03,475,3.67,N/A,59,15.8
01014100,16.83,16.83,0.74,N/A,14,N/A
01014200,794.01,354,10.82,21.8,48,10.9
01014400,19.06,11,0.92,N/A,45,N/A
01014500,10.38,9,0.63,N/A,24,N/A
01014600,630.45,295,8.89,N/A,39,4.3
01014700,842.04,520,6.15,13,31,4.2
01015400,54.27,36,1.37,11,26,N/A
01015700,638.03,259,6.44,N/A,78,14.6
01015800,32.36,24,1.02,N/A,18,N/A
01015900,"2,005.19",883,14.64,N/A,56,7.6
01016100,375.52,261.8,4.57,10.5,44,9.2
01016200,36.6,0,1.48,N/A,0,6.5
01016300,46.55,25,1.87,N/A,47,N/A
01016500,22.37,6,1.03,N/A,60,N/A
01016600,37.83,0,1.7,N/A,23,N/A
01016700,41.11,41.11,1.29,N/A,8,N/A
01016800,27.43,16,1.08,N/A,67,N/A
01016900,53.56,30,2.14,12,47,N/A
01017000,317.97,142,3.76,16,35,7.9
01017100,81.86,53,2.1,11,26,6.0
01017400,161.3,161.3,4.61,7,21,12.5
01017500,30.91,27,1.37,N/A,33,N/A
01017600,226.3,103,3.62,N/A,44,14.5
01017800,523.41,260,5.26,15,49,12.5
01017900,211.58,111,2.38,N/A,32,11.0
01018100,53.54,14,1.84,30,106,14.5
01018200,98.94,54,2.32,12,34,2.5
01018300,32.15,16,0.95,11,38,N/A
01018500,34.59,9,1.12,N/A,85,2.0
01018800,304.37,316.98,4.91,N/A,17,6.3
01019000,81.57,70,1.47,N/A,23,N/A
01019500,120.33,89,1.89,7,42,N/A
01019700,15.54,15.54,0.67,N/A,9,N/A
01019900,51.61,45,1.21,N/A,33,N/A
01020100,93.89,35,1.79,N/A,56,8.0
01020400,736.66,322,4.96,N/A,125,13.0
01020700,114.06,113.18,3.05,N/A,69,9.0
01020800,221.18,210,4.85,N/A,43,10.5
01020900,"1,725.81",405,27.56,28,105,10.8
01021000,87.06,50,1.79,N/A,40,N/A
01021200,257.87,220,4.1,N/A,24,3.3
01021700,10.79,6,0.59,15,46,N/A
01021900,12.26,0,0.54,N/A,25,N/A
02000300,302.21,298.82,4.2,6,21,12.3
02000400,551.93,412,8.18,N/A,18,4.2
02000600,473.86,276,4.01,12,19,2.4
02000900,336.5,336,4.15,N/A,16,N/A
02002200,72.69,58,1.47,N/A,22,N/A
02002600,572.1,475,4.51,11,42,3.3
02002800,91.39,0,2.55,N/A,19,N/A
02003400,232.31,140,3.15,N/A,20,2.0
02003500,57.79,42.7,2.3,N/A,23,N/A
02004200,"1,481.24","1,098.2",16.28,10,27,7.4
02004500,58.09,51.3,1.57,N/A,25,6.0
02005300,154.63,118.81,3.36,6,22,4.3
02006500,334.29,334.29,3.37,3,10,N/A
02007100,32.03,51.28,1,N/A,18,7.4
02007200,66.13,65.29,1.36,N/A,4,N/A
02007501,27.51,22,1.15,N/A,22,7.6
02007502,67.81,67.81,1.72,N/A,5,N/A
02008400,114.93,86,2.91,N/A,26,8.5
02009100,488.63,391,3.51,5,32,8.3
02010600,54.18,51.8,1.57,N/A,21,9.5
02012200,94.93,88.6,4.02,N/A,18,N/A
02013300,91.99,54,2.17,N/A,68,11.0
02058500,9.52,13.05,0.75,N/A,15,8.0
