lake_id,lattitude,longitude
01000100,46.196386,-93.063747
01001400,46.848253,-93.180035
01001500,46.828491,-93.150448
01001900,46.852243,-93.167723
01002300,46.703591,-93.200718
01002400,46.824431,-93.189809
01003300,46.696934,-93.249019
01003800,46.828437,-93.214509
01004500,46.930509,-93.257686
01004600,46.933009,-93.284999
01005600,46.864056,-93.220694
01005700,46.940339,-93.273439
01005800,46.978068,-93.244572
01005900,46.953588,-93.206072
01006100,46.690297,-93.336719
01006200,46.766814,-93.251346
01006900,46.577946,-93.420868
01007000,46.644242,-93.380644
01007200,46.637928,-93.394843
01007400,46.607848,-93.410323
01008500,46.367954,-93.533157
01008700,46.412256,-93.473414
01008900,46.497305,-93.474999
01009100,46.462984,-93.53207
01009200,46.436188,-93.459859
01009300,46.430998,-93.490794
01009600,46.511076,-93.473734
01009900,46.634848,-93.540955
01010200,46.638033,-93.488799
01010400,46.629549,-93.540386
01010500,46.631004,-93.487555
01010900,46.995992,-93.512447
01011100,46.977034,-93.458964
01011500,46.483765,-93.589988
01011700,46.484718,-93.648238
01012000,46.483641,-93.587794
01012300,46.459948,-93.641063
01012500,46.436994,-93.664475
01012900,46.509175,-93.60422
01013200,46.519435,-93.641978
01013600,46.72814,-93.626423
01013700,46.720219,-93.659102
01014200,46.994034,-93.589872
01014201,46.994034,-93.589872
01014202,46.994034,-93.589872
01014600,46.462412,-93.689924
01014700,46.729914,-93.698044
01014800,46.803498,-93.696201
01014900,46.40611,-93.730797
01015700,46.348748,-93.771213
01015900,46.438336,-93.756721
01016100,46.47822,-93.737929
01017000,46.471331,-93.716026
01017600,46.444065,-93.738736
01017800,46.432638,-93.7154
01017900,46.442827,-93.737878
01018100,46.502853,-93.748585
01018800,46.65279,-93.737619
01020400,46.330385,-93.816786
01020900,46.485744,-93.79798
01020901,46.485744,-93.79798
01020902,46.485744,-93.79798
01020903,46.485744,-93.79798
01021200,46.731416,-93.772883
02000300,45.116483,-93.040449
02000400,45.175078,-93.069204
02000500,45.175495,-93.069649
02000600,45.161138,-93.081588
02000800,45.161991,-93.114572
02001600,45.253727,-93.042223
02002200,45.366664,-93.091912
02002600,45.357117,-93.09693
02003400,45.377278,-93.087911
02004200,45.319368,-93.132151
02004500,45.136831,-93.153518
02005200,45.275174,-93.202602
02005300,45.252753,-93.224085
02007500,45.075672,-93.243196
02007501,45.075672,-93.243196
02007502,45.075672,-93.243196
02007700,45.090058,-93.275165
02008400,45.218745,-93.341745
02008900,45.237351,-93.350641
02009100,45.362893,-93.336325
02013000,45.333587,-93.444627
02013300,45.331203,-93.504558
02058500,45.171336,-93.156537
03000400,46.857609,-95.187942
03000500,46.855659,-95.208406
03000700,46.83804,-95.223676
03000900,46.830268,-95.185014
03001000,46.921936,-95.251692
03001700,47.030715,-95.207149
03002900,47.06065,-95.180425
03003000,47.091756,-95.275351
03004200,47.099047,-95.180897
03004400,47.079058,-95.187236
03008500,47.146537,-95.376261
03008800,47.116091,-95.377291
03009600,47.079242,-95.328467
03009700,47.076953,-95.366628
03010100,46.819414,-95.360943
03010200,46.947264,-95.485808
03010300,47.005736,-95.411959
03010700,46.845721,-95.49138
03010800,46.88352,-95.527632
03012700,46.907372,-95.419201
03013600,47.120184,-95.459297
03015300,46.935506,-95.518646
03015500,47.027609,-95.541092
03015800,47.069043,-95.556586
03015900,47.137985,-95.517507
03016600,46.784596,-95.63214
03017700,46.882452,-95.662906
03018900,46.963945,-94.855859
