Administrator,Access Type,Notes,Use Type,lake_id
DNR,Concrete,Room for eight rigs. Gravel drive and lot.,Open to Public use,01000100
MnDOT,Concrete,MNDOT-owned access/rest area at north end of North Big Pine Lake off state highway 18. Channel between lakes is navigable.,Unknown,01000100
DNR,Other,State Park access through a group camp site when the site is empty; or by group campers.,Fee/Permit needed,01001400
DNR,Earthen,New walk-in access east of Garni cabin on the east side of the lake.,Open to Public use,01001400
DNR,Concrete,,Open to Public use,01001500
DNR,Earthen,An access on the northwest corner of the lake is managed by the Savanna-Portage State Park for park patrons only.,Fee/Permit needed,01001900
DNR,Concrete,north side of the lake; can be reached via County Road 6.,Fee/Permit needed,01002300
DNR,Gravel,The state owned access is on the east side of the lake in the Savannah Portage State Park.,Fee/Permit needed,01002400
County,Concrete,,Open to Public use,01002700
DNR,Concrete,South side of lake off County Hwy 6 Two ramps available,Open to Public use,01003300
DNR,Concrete,South side of lake off 188th Ave No Dock Limited Parking,Open to Public use,01003300
Township,Concrete,East side of lake off 188th Avenue. No Dock Limited Parking,Open to Public use,01003300
Township,Concrete,Located on the NW side of the penninsula in the middle of the lake. 198th PL No Dock No parking allowed.,Open to Public use,01003300
DNR,Channel,Horseshoe Lake can also be reached from the public access on Lake Minnewawa; via a channel between the two lakes.,Open to Public use,01003400
Private Property,Gravel,boats may be launched from the tavern on the east side of the lake for a fee.,Fee/Permit needed,01003400
DNR,Carry-In,The public access is a carry-in access off of the Remote Lake truck trail; through a 10 ft. wide channel on the north side of the lake.,Open to Public use,01003800
Corps of Engineers,Concrete,Boaters can reach Aitkin Lake through Aitkin Flowage; which flows into Big Sandy Lake.,Unknown,01004000
Unknown,Other,THE STATE OWNED DESIGNATED PUBLIC ACCESS IS ON THE NW CORNER OF THE LAKE.,Open to Public use,01004500
DNR,Concrete,The state owned public access; with concrete log ramp; is located adjacent to U.S. 65 on the west side of the lake.,Open to Public use,01004600
DNR,Other,THERE IS A STATE PROPERTY AROUND MOST OF THE LAKE. ACCESS CAN BE GAINED BY A STATE FOREST RD.,Open to Public use,01005600
DNR,Earthen,,Open to Public use,01005700
DNR,Earthen,in Section 22; can be reached from the west via US 65; T114; T533 and T483,Open to Public use,01005800
DNR,Concrete,THE PUBLIC ACCESS IS LOCATED ON THE EAST SIDE OF THE LAKE AT THE STATE FORESTRY CAMPGROUND.,Open to Public use,01005900
