city,city_ascii,state_id,state_name,county_fips,county_name,lat,lng,population,density,source,military,incorporated,timezone,ranking,zips,id
Minneapolis,Minneapolis,MN,Minnesota,27053,Hennepin,44.9635,-93.2678,2977172,3071,polygon,FALSE,TRUE,America/Chicago,1,55403 55409 55408 55407 55406 55405 55404 55402 55401 55430 55454 55455 55418 55419 55410 55411 55412 55413 55414 55415 55416 55417 55440 55458 55459 55467 55470 55472 55474 55478 55479 55480 55483 55484 55485 55486 55487 55488,1840007830
St. Paul,St. Paul,MN,Minnesota,27123,Ramsey,44.9477,-93.104,308096,2288,polygon,FALSE,TRUE,America/Chicago,2,55114 55117 55116 55119 55130 55101 55155 55102 55103 55106 55107 55104 55105 55108 55131 55133 55144 55145 55146 55164 55170,1840008940
Rochester,Rochester,MN,Minnesota,27109,Olmsted,44.0151,-92.4778,119942,831,polygon,FALSE,TRUE,America/Chicago,2,55902 55901 55906 55904 55905,1840008987
Duluth,Duluth,MN,Minnesota,27137,St. Louis,46.7756,-92.1392,119476,461,polygon,FALSE,TRUE,America/Chicago,2,55803 55802 55805 55804 55808 55810 55811 55812 55807 55806 55815 55816,1840007685
St. Cloud,St. Cloud,MN,Minnesota,27145,Stearns,45.5339,-94.1718,115028,660,polygon,FALSE,TRUE,America/Chicago,2,56304 56301 56303 56302 56372 56393 56395 56396,1840008881
Bloomington,Bloomington,MN,Minnesota,27053,Hennepin,44.8306,-93.3151,84943,945,polygon,FALSE,TRUE,America/Chicago,3,55425 55420 55431 55437 55438,1840006747
Brooklyn Park,Brooklyn Park,MN,Minnesota,27053,Hennepin,45.1112,-93.3505,80389,1190,polygon,FALSE,TRUE,America/Chicago,3,55444 55429 55428 55443 55445,1840004023
Plymouth,Plymouth,MN,Minnesota,27053,Hennepin,45.0225,-93.4618,79768,941,polygon,FALSE,TRUE,America/Chicago,3,55442 55441 55447 55446,1840008929
Woodbury,Woodbury,MN,Minnesota,27163,Washington,44.9056,-92.923,72828,805,polygon,FALSE,TRUE,America/Chicago,3,55129 55125,1840009998
Maple Grove,Maple Grove,MN,Minnesota,27053,Hennepin,45.1089,-93.4626,72622,860,polygon,FALSE,TRUE,America/Chicago,3,55369 55311,1840008923
Lakeville,Lakeville,MN,Minnesota,27037,Dakota,44.6774,-93.252,67317,715,polygon,FALSE,TRUE,America/Chicago,3,55044,1840007859
Eagan,Eagan,MN,Minnesota,27037,Dakota,44.8169,-93.1638,66372,821,polygon,FALSE,TRUE,America/Chicago,3,55121 55122 55123,1840007852
Blaine,Blaine,MN,Minnesota,27003,Anoka,45.1696,-93.2077,65607,769,polygon,FALSE,TRUE,America/Chicago,3,55014 55434 55449,1840006719
Eden Prairie,Eden Prairie,MN,Minnesota,27053,Hennepin,44.8488,-93.4595,64893,770,polygon,FALSE,TRUE,America/Chicago,3,55344 55346 55347,1840007821
Coon Rapids,Coon Rapids,MN,Minnesota,27003,Anoka,45.1755,-93.3095,62998,1075,polygon,FALSE,TRUE,America/Chicago,3,55433 55448,1840006714
Mankato,Mankato,MN,Minnesota,27013,Blue Earth,44.1712,-93.9773,62889,868,polygon,FALSE,TRUE,America/Chicago,3,56001 56002,1840008975
Burnsville,Burnsville,MN,Minnesota,27037,Dakota,44.7648,-93.2795,61339,953,polygon,FALSE,TRUE,America/Chicago,3,55306 55337,1840006766
Apple Valley,Apple Valley,MN,Minnesota,27037,Dakota,44.7457,-93.2006,55135,1254,polygon,FALSE,TRUE,America/Chicago,3,55124,1840006768
Minnetonka,Minnetonka,MN,Minnesota,27053,Hennepin,44.9322,-93.4598,54064,775,polygon,FALSE,TRUE,America/Chicago,3,55305 55345 55343 55391,1840007831
