ice_in_date,ice_year
12/2/1978,1978
12/13/1979,1979
12/9/1980,1980
12/15/1981,1981
12/11/1982,1982
12/2/1983,1983
12/6/1984,1984
11/27/1985,1985
12/5/1986,1986
12/17/1987,1987
12/1/1988,1988
12/3/1989,1989
12/18/1990,1990
11/25/1991,1991
12/18/1992,1992
12/11/1993,1993
12/11/1994,1994
11/28/1995,1995
11/25/1996,1996
12/26/1997,1997
12/25/1998,1998
12/21/1999,1999
12/5/2000,2000
1/2/2002,2001
12/3/2002,2002
12/12/2003,2003
12/19/2004,2004
12/7/2005,2005
12/4/2006,2006
12/3/2007,2007
12/7/2008,2008
12/15/2009,2009
12/3/2010,2010
12/16/2011,2011
12/16/2011,2011
12/22/2012,2012
11/29/2013,2013
11/27/2014,2014
12/15/2016,2016
12/14/2017,2017
11/28/2018,2018
12/2/2019,2019
12/24/2020,2020
12/8/2021,2021
12/8/2022,2022
1/13/2024,2023
