,year,ice_day,avg_temp_jul_oct,min_temp_jul_oct,max_temp_jul_oct,temp_std_dev,temp_range,final_daily_avg,final_max_temp,final_min_temp,total_precipitation,freezing_days_count,days_below_40_count,days_below_45_count,days_below_50_count,max_monthly_temp_drop,cumulative_precipitation_oct31,cumulative_freezing_days_oct31,oct_avg_temp,oct_min_temp,oct_max_temp,oct_freezing_days,avg_temp_month_7,avg_temp_month_8,avg_temp_month_9,avg_temp_month_10,final_rolling_avg_7d,final_rolling_avg_14d,final_rolling_avg_30d,temp_change_7_to_8,temp_change_8_to_9,temp_change_9_to_10
0,1978,31.0,65.0691056910569,26.0,96.0,11.518040945683548,45.0,43.5,56.0,31.0,11.620000000000001,0,1,10,15,-17.49301075268817,27.54,75,49.79032258064516,26.0,78.0,0,71.11290322580645,72.16129032258064,67.28333333333333,49.79032258064516,46.214285714285715,48.535714285714285,49.516666666666666,1.0483870967741922,-4.877956989247309,-17.49301075268817
1,1979,42.0,63.34146341463415,28.0,96.0,12.142142617720332,48.5,52.0,61.0,43.0,14.74,0,8,12,19,-16.786021505376347,29.76,80,46.58064516129032,28.0,73.0,0,73.59677419354838,69.8225806451613,63.36666666666667,46.58064516129032,47.5,48.32142857142857,46.266666666666666,-3.774193548387089,-6.455913978494628,-16.786021505376347
2,1980,39.0,62.61788617886179,19.0,100.0,13.686040707568923,57.5,44.5,55.0,34.0,9.899999999999999,1,8,18,27,-14.402688172043014,21.27,77,45.08064516129032,19.0,84.0,1,75.16129032258064,70.64516129032258,59.483333333333334,45.08064516129032,36.357142857142854,39.5,44.666666666666664,-4.516129032258064,-11.161827956989242,-14.402688172043014
3,1981,44.0,61.703252032520325,20.0,91.0,11.570319114854417,53.0,49.5,63.0,36.0,12.97,2,7,9,21,-13.387096774193552,24.89,55,46.61290322580645,20.0,66.0,2,70.8225806451613,69.3225806451613,60.0,46.61290322580645,47.142857142857146,41.785714285714285,46.8,-1.5,-9.322580645161295,-13.387096774193552
4,1982,40.0,64.66260162601625,27.0,100.0,11.896496235625833,54.0,42.5,51.0,34.0,9.67,0,2,7,14,-10.841935483870962,22.69,73,50.29032258064516,27.0,76.0,0,75.59677419354838,71.74193548387096,60.9,50.29032258064516,49.285714285714285,47.07142857142857,50.15,-3.8548387096774235,-10.841935483870962,-10.609677419354838
5,1983,31.0,66.26016260162602,27.0,97.0,13.839292717626998,51.0,46.5,52.0,41.0,12.14,0,3,10,26,-14.262365591397852,32.61,60,48.37096774193548,27.0,78.0,0,77.19354838709677,76.7258064516129,62.63333333333333,48.37096774193548,46.07142857142857,46.25,47.68333333333333,-0.4677419354838719,-14.092473118279564,-14.262365591397852
6,1984,36.0,63.43089430894309,24.0,94.0,12.239301986963229,51.5,34.0,44.0,24.0,16.31,0,4,13,21,-16.252688172043015,34.4,66,50.725806451612904,24.0,73.0,0,72.20967741935483,73.41935483870968,57.166666666666664,50.725806451612904,42.57142857142857,43.142857142857146,50.7,1.209677419354847,-16.252688172043015,-6.44086021505376
7,1985,26.0,62.260162601626014,29.0,97.0,12.368712112326259,50.5,43.0,51.0,35.0,15.250000000000002,0,2,15,29,-12.384408602150536,28.740000000000002,61,47.53225806451613,29.0,70.0,0,73.88709677419355,67.62903225806451,59.916666666666664,47.53225806451613,48.0,50.107142857142854,47.7,-6.258064516129039,-7.712365591397848,-12.384408602150536
8,1986,34.0,62.51219512195122,32.0,92.0,10.83453483735888,47.0,44.0,55.0,33.0,17.220000000000002,0,2,8,19,-10.60698924731183,35.69,65,49.20967741935484,32.0,73.0,0,73.88709677419355,67.04838709677419,59.81666666666667,49.20967741935484,48.714285714285715,51.535714285714285,48.916666666666664,-6.838709677419359,-7.231720430107522,-10.60698924731183
9,1987,46.0,62.98780487804878,23.0,96.0,13.203865463368299,52.0,46.5,56.0,37.0,23.450000000000003,0,9,16,25,-17.884946236559138,28.84,46,44.54838709677419,23.0,79.0,0,76.0,68.95161290322581,62.43333333333333,44.54838709677419,43.07142857142857,40.642857142857146,44.13333333333333,-7.048387096774192,-6.518279569892478,-17.884946236559138
