bins,month,max_temp,min_temp,daily_avg,precipitation,snow,snow_depth,low_freezing,high_freezing,avg_freezing
1970-1999,1,21.301075268817204,3.949462365591398,12.6252688172043,0.03320430107526882,0.4281720430107527,7.5569892473118285,3.3454545454545452,2.501818181818182,3.170909090909091
1970-1999,2,27.864162561576354,11.25931855500821,19.561740558292282,0.026767651888341546,0.277188013136289,7.581691297208538,2.8763636363636365,1.7054545454545456,2.4836363636363634
1970-1999,3,39.848387096774196,23.063440860215053,31.455913978494625,0.0608494623655914,0.3453763440860215,3.2035998129967274,2.589090909090909,0.72,1.549090909090909
1970-1999,4,56.79777777777778,36.15,46.47388888888889,0.07972222222222222,0.10077777777777777,0.21034482758620693,0.9563636363636364,0.03636363636363636,0.1781818181818182
1970-1999,5,69.8989247311828,48.368817204301074,59.133870967741935,0.10470967741935483,0.001935483870967742,0.002150537634408602,0.04727272727272727,0.0,0.0
1970-1999,6,79.03888888888888,57.93555555555555,68.48722222222223,0.14097777777777779,0.0,0.0,0.0,0.0,0.0
1970-1999,7,83.37634408602152,63.0516129032258,73.21397849462366,0.12778494623655914,0.0,0.0,0.0,0.0,0.0
1970-1999,8,80.36774193548386,60.70537634408603,70.53655913978494,0.1296021505376344,0.0,0.0,0.0,0.0,0.0
1970-1999,9,71.02666666666667,50.83555555555555,60.931111111111115,0.09073333333333333,0.00044444444444444447,0.0,0.03272727272727273,0.0,0.0
1970-1999,10,58.20967741935484,38.7763440860215,48.49301075268817,0.07229032258064517,0.02,0.0,0.6727272727272727,0.0,0.06909090909090909
1970-1999,11,40.025555555555556,24.82,32.42277777777778,0.0651111111111111,0.3302222222222222,1.1777777777777778,2.429090909090909,0.7163636363636363,1.469090909090909
1970-1999,12,26.63763440860215,11.210752688172043,18.924193548387098,0.031236559139784948,0.32688172043010755,3.7569892473118283,3.2654545454545456,2.061818181818182,2.909090909090909
2000-2009,1,24.745161290322578,9.738709677419354,17.241935483870968,0.019258064516129034,0.25709677419354837,3.3677419354838714,1.1018181818181818,0.7781818181818182,0.9963636363636363
2000-2009,2,28.193349753694584,12.041379310344826,20.117364532019703,0.029790640394088675,0.3392487684729064,4.505049261083744,0.9636363636363636,0.6072727272727273,0.8690909090909091
2000-2009,3,40.9,24.093548387096774,32.49677419354838,0.05687096774193549,0.3432258064516129,2.770967741935484,0.8363636363636363,0.23636363636363636,0.5272727272727272
2000-2009,4,58.15,38.519999999999996,48.334999999999994,0.09933333333333333,0.09933333333333333,0.17333333333333334,0.26181818181818184,0.01818181818181818,0.05818181818181818
2000-2009,5,68.53870967741935,49.24193548387097,58.89032258064516,0.10948387096774195,0.0,0.0,0.01090909090909091,0.0,0.0
2000-2009,6,78.72333333333333,59.93333333333334,69.32833333333333,0.13863333333333333,0.0,0.0,0.0,0.0,0.0
2000-2009,7,84.2516129032258,65.56451612903226,74.90806451612903,0.09883870967741934,0.0,0.0,0.0,0.0,0.0
2000-2009,8,80.7290322580645,62.561290322580646,71.64516129032259,0.15267741935483872,0.0,0.0,0.0,0.0,0.0
2000-2009,9,73.32333333333334,54.42666666666666,63.875,0.10373333333333334,0.0,0.0,0.0036363636363636364,0.0,0.0
2000-2009,10,57.3741935483871,40.8,49.08709677419355,0.08551612903225807,0.01129032258064516,0.0032258064516129032,0.15636363636363637,0.0,0.01090909090909091
2000-2009,11,43.986666666666665,29.110000000000003,36.54833333333333,0.0398,0.135,0.32666666666666666,0.6145454545454545,0.14545454545454545,0.34545454545454546
2000-2009,12,27.387096774193548,13.567741935483872,20.47741935483871,0.03487096774193549,0.4332258064516129,3.1903225806451614,1.0654545454545454,0.6581818181818182,0.8909090909090909
2010-2019,1,23.606451612903225,8.719354838709677,16.162903225806453,0.02490322580645161,0.31322580645161285,4.367741935483871,1.1927272727272726,0.8581818181818182,1.1090909090909091
2010-2019,2,27.122783251231528,10.840517241379311,18.981650246305417,0.043583743842364533,0.5041871921182266,6.38423645320197,1.0727272727272728,0.6981818181818182,0.9563636363636364
2010-2019,3,42.78387096774193,25.861290322580647,34.322580645161295,0.044548387096774195,0.20709677419354838,3.393548387096774,0.8654545454545455,0.24727272727272728,0.52
2010-2019,4,55.89333333333333,37.47,46.681666666666665,0.11826666666666667,0.21333333333333332,0.45666666666666667,0.2509090909090909,0.02181818181818182,0.08
2010-2019,5,69.78709677419354,50.651612903225804,60.219354838709684,0.15196774193548385,0.0016129032258064516,0.0,0.0,0.0,0.0
2010-2019,6,79.42333333333333,61.42999999999999,70.42666666666666,0.1709,0.0,0.0,0.0,0.0,0.0
2010-2019,7,84.69032258064516,66.48709677419355,75.58870967741936,0.1464193548387097,0.0,0.0,0.0,0.0,0.0
2010-2019,8,81.71612903225807,63.94516129032259,72.83064516129032,0.13212903225806452,0.0,0.0,0.0,0.0,0.0
2010-2019,9,74.22666666666666,55.760000000000005,64.99333333333334,0.10133333333333332,0.0,0.0,0.0,0.0,0.0
2010-2019,10,58.89677419354839,41.774193548387096,50.33548387096774,0.08490322580645163,0.0012903225806451613,0.0,0.12727272727272726,0.0,0.014545454545454545
2010-2019,11,42.21,27.563333333333333,34.88666666666667,0.05336666666666666,0.168,0.41666666666666663,0.7090909090909091,0.23272727272727273,0.4109090909090909
2010-2019,12,28.63225806451613,16.009677419354837,22.320967741935483,0.05274193548387096,0.41,3.4967741935483874,1.1309090909090909,0.6363636363636364,0.96
2020-onward,1,25.8,12.458064516129031,19.12903225806452,0.03135483870967742,0.3380645161290322,6.135483870967742,0.5454545454545454,0.3527272727272727,0.509090909090909
