Date,Maximum Temperature degrees (F),Minimum Temperature degrees (F),Precipitation (inches),Snow (inches),Snow Depth (inches)
1/1/2020,36,13,0,0,5
1/2/2020,37,31,0,0,5
1/3/2020,36,24,T,T,4
1/4/2020,30,24,0,0,4
1/5/2020,38,24,0.01,T,4
1/6/2020,36,22,0,0,3
1/7/2020,32,5,0,0,3
1/8/2020,17,1,0,0,3
1/9/2020,36,17,0,0,3
1/10/2020,24,8,T,T,3
1/11/2020,16,-1,0,0,3
1/12/2020,20,9,0.11,0.8,3
1/13/2020,28,15,0.1,1,4
1/14/2020,32,17,0.01,0,5
1/15/2020,24,-2,0.01,T,5
1/16/2020,6,-9,0,0,5
1/17/2020,25,-1,0.35,4.7,5
1/18/2020,26,0,0.06,0.2,9
1/19/2020,12,0,0.01,0.5,8
1/20/2020,18,2,0.03,0.4,8
1/21/2020,20,-2,0,0,8
1/22/2020,37,19,0.17,0.6,8
1/23/2020,33,30,0.06,1,8
1/24/2020,32,29,T,T,8
1/25/2020,33,27,T,T,7
1/26/2020,30,25,0,0,7
1/27/2020,27,21,T,0,7
1/28/2020,22,18,T,T,7
1/29/2020,22,18,T,T,7
1/30/2020,27,18,T,T,7
1/31/2020,34,27,0.05,0.6,7
2/1/2020,38,27,0,0,7
2/2/2020,46,31,0,0,6
2/3/2020,32,20,0,0,5
2/4/2020,24,10,0,0,5
2/5/2020,30,11,0,0,5
2/6/2020,32,11,0,T,5
2/7/2020,30,13,0.03,0.5,5
2/8/2020,20,-3,0,0,5
2/9/2020,27,9,0.38,4.8,6
2/10/2020,30,7,0.01,0.2,10
2/11/2020,30,21,T,T,10
2/12/2020,35,0,T,T,10
2/13/2020,1,-11,0,0,9
2/14/2020,15,-12,0,0,9
2/15/2020,36,15,0,0,8
2/16/2020,24,14,0,0,8
2/17/2020,35,22,0.16,2,8
2/18/2020,26,5,0,0,9
2/19/2020,14,0,0,0,9
2/20/2020,14,-6,0,0,9
2/21/2020,37,12,0,0,8
2/22/2020,42,18,0,0,8
2/23/2020,44,27,0,0,7
2/24/2020,42,23,0,0,5
2/25/2020,38,28,0,0,4
2/26/2020,31,19,T,T,4
