,morning,day,evening,total_score,drinks,candy,pen,meditate,exercise,meditate_lag1,exercise_lag1,drinks_lag1,drinks_flag_lag1,candy_lag1,candy_flag_lag1,pen_lag1,pen_flag_lag1,morning_lag1,day_lag1,evening_lag1,total_score_lag1
morning,1.0,0.61,0.3,0.8,-0.42,-0.31,-0.0,0.25,0.31,0.02,0.21,-0.3,-0.38,-0.11,-0.11,-0.06,0.1,0.39,0.28,0.09,0.31
day,0.61,1.0,0.5,0.88,-0.07,-0.03,-0.02,-0.06,0.08,0.04,0.18,-0.13,-0.14,-0.07,-0.03,-0.08,0.04,0.44,0.38,0.25,0.42
evening,0.3,0.5,1.0,0.72,0.02,0.12,-0.12,0.03,0.09,-0.07,-0.02,-0.07,-0.0,-0.02,0.0,-0.02,-0.07,0.42,0.45,0.35,0.49
total_score,0.8,0.88,0.72,1.0,-0.19,-0.09,-0.05,0.11,0.19,-0.03,0.15,-0.2,-0.22,-0.08,-0.05,-0.06,0.04,0.51,0.44,0.27,0.48
drinks,-0.42,-0.07,0.02,-0.19,1.0,0.53,0.3,-0.2,-0.04,-0.12,-0.17,0.4,0.57,0.49,0.55,0.25,0.18,-0.23,0.11,0.12,0.01
candy,-0.31,-0.03,0.12,-0.09,0.53,1.0,-0.07,-0.11,-0.15,-0.01,-0.1,0.4,0.42,0.44,0.4,0.39,0.2,-0.04,0.05,0.02,0.03
pen,-0.0,-0.02,-0.12,-0.05,0.3,-0.07,1.0,-0.14,0.03,-0.06,-0.01,0.25,0.26,0.35,0.47,0.02,0.14,-0.27,0.01,0.01,-0.1
meditate,0.25,-0.06,0.03,0.11,-0.2,-0.11,-0.14,1.0,0.36,0.03,-0.01,-0.21,-0.2,-0.06,-0.11,0.06,-0.09,0.09,-0.1,0.15,0.06
exercise,0.31,0.08,0.09,0.19,-0.04,-0.15,0.03,0.36,1.0,0.05,0.07,0.01,0.02,0.11,0.07,-0.09,-0.08,0.12,0.09,0.15,0.15
meditate_lag1,0.02,0.04,-0.07,-0.03,-0.12,-0.01,-0.06,0.03,0.05,1.0,0.36,-0.21,-0.26,-0.11,-0.11,-0.14,-0.09,0.25,-0.06,0.03,0.11
exercise_lag1,0.21,0.18,-0.02,0.15,-0.17,-0.1,-0.01,-0.01,0.07,0.36,1.0,-0.05,-0.11,-0.16,-0.19,0.03,0.11,0.31,0.08,0.09,0.19
drinks_lag1,-0.3,-0.13,-0.07,-0.2,0.4,0.4,0.25,-0.21,0.01,-0.21,-0.05,1.0,0.89,0.53,0.46,0.3,0.41,-0.42,-0.07,0.02,-0.19
drinks_flag_lag1,-0.38,-0.14,-0.0,-0.22,0.57,0.42,0.26,-0.2,0.02,-0.26,-0.11,0.89,1.0,0.54,0.53,0.39,0.39,-0.39,-0.05,0.0,-0.17
candy_lag1,-0.11,-0.07,-0.02,-0.08,0.49,0.44,0.35,-0.06,0.11,-0.11,-0.16,0.53,0.54,1.0,0.95,-0.07,-0.05,-0.31,-0.03,0.12,-0.09
candy_flag_lag1,-0.11,-0.03,0.0,-0.05,0.55,0.4,0.47,-0.11,0.07,-0.11,-0.19,0.46,0.53,0.95,1.0,-0.05,-0.0,-0.31,-0.03,0.08,-0.11
pen_lag1,-0.06,-0.08,-0.02,-0.06,0.25,0.39,0.02,0.06,-0.09,-0.14,0.03,0.3,0.39,-0.07,-0.05,1.0,0.81,-0.01,-0.02,-0.12,-0.05
pen_flag_lag1,0.1,0.04,-0.07,0.04,0.18,0.2,0.14,-0.09,-0.08,-0.09,0.11,0.41,0.39,-0.05,-0.0,0.81,1.0,-0.05,-0.03,-0.15,-0.07
morning_lag1,0.39,0.44,0.42,0.51,-0.23,-0.04,-0.27,0.09,0.12,0.25,0.31,-0.42,-0.39,-0.31,-0.31,-0.01,-0.05,1.0,0.61,0.3,0.8
day_lag1,0.28,0.38,0.45,0.44,0.11,0.05,0.01,-0.1,0.09,-0.06,0.08,-0.07,-0.05,-0.03,-0.03,-0.02,-0.03,0.61,1.0,0.5,0.88
evening_lag1,0.09,0.25,0.35,0.27,0.12,0.02,0.01,0.15,0.15,0.03,0.09,0.02,0.0,0.12,0.08,-0.12,-0.15,0.3,0.5,1.0,0.72
total_score_lag1,0.31,0.42,0.49,0.48,0.01,0.03,-0.1,0.06,0.15,0.11,0.19,-0.19,-0.17,-0.09,-0.11,-0.05,-0.07,0.8,0.88,0.72,1.0
