habit_date,meditate,exercise,morning,day,evening,drinks,candy,pen,video_games,day_of_week,day_label,week_number,month,weekend,drinks_flag,candy_flag,pen_flag,video_games_flag,total_score,morning_chart,day_chart,evening_chart,total_score_lag1,morning_lag1,day_lag1,evening_lag1,meditate_lag1,exercise_lag1,drinks_lag1,candy_lag1,pen_lag1,drinks_flag_lag1,candy_flag_lag1,pen_flag_lag1,video_games_lag1,total_score_chart,total_score_chart_r3,sleep_score,sleep_start_time,time_to_fall_asleep,restful_time,restless_time,bed_exit_time,laydown_time,out_of_bed_time
10/31/2024,0,0,3,,,0,0,0,0,3,Thursday,44,10,0,0,0,0,0,,3,,,,,,,,,,,,,,,,3,3,87,23:02,0:19:00,6:17:00,0:38:00,0:00:00,22:43,5:57
10/30/2024,1,0,4,4,3,0,0,1,1.5,2,Wednesday,44,10,0,0,0,1,1,11,4,4,3,,3,,,0,0,0,0,0,0,0,0,0,11,7,82,22:32,0:27:00,6:14:00,1:02:00,0:01:00,22:05,5:49
10/29/2024,0,1,3,3,4,0,0,0,0,1,Tuesday,44,10,0,0,0,0,0,10,3,3,4,11,4,4,3,1,0,0,0,1,0,0,1,1.5,10,8,66,23:38,1:00:00,5:18:00,1:11:00,0:02:00,22:38,6:09
10/28/2024,1,1,4,4,3,0,0,0.5,1.25,0,Monday,44,10,0,0,0,1,1,11,4,4,3,10,3,3,4,0,1,0,0,0,0,0,0,0,11,10.66666667,85,23:14,2:12:00,6:23:00,0:13:00,0:00:00,21:02,5:50
10/27/2024,0,0,4,4,3,3,0,1,0,6,Sunday,43,10,1,1,0,1,0,11,4,4,3,11,4,4,3,1,1,0,0,0.5,0,0,1,1.25,11,10.66666667,93,22:55,0:24:00,6:51:00,1:18:00,0:00:00,22:31,7:04
10/26/2024,0,0,3,4,4,2,1,0,0,5,Saturday,43,10,1,1,1,0,0,11,3,4,4,11,4,4,3,0,0,3,0,1,1,0,1,0,11,11,80,22:28,0:04:00,7:48:00,1:31:00,0:01:00,22:24,7:48
10/25/2024,1,1,4,4,4,3,0,0,0,4,Friday,43,10,0,1,0,0,0,12,4,4,4,11,3,4,4,0,0,2,1,0,1,1,0,0,12,11.33333333,92,22:38,1:29:00,6:34:00,0:37:00,0:00:00,21:09,5:49
10/24/2024,0,1,3,3,4,0,0,0,0,3,Thursday,43,10,0,0,0,0,0,10,3,3,4,12,4,4,4,1,1,3,0,0,1,0,0,0,10,11,68,1:21,2:08:00,5:01:00,0:36:00,0:00:00,23:13,6:58
10/23/2024,0,0,2,2,2,0,0,0,0,2,Wednesday,43,10,0,0,0,0,0,6,2,2,2,10,3,3,4,0,1,0,0,0,0,0,0,0,6,9.333333333,85,23:06,0:31:00,6:24:00,0:56:00,0:00:00,22:35,6:26
10/22/2024,0,1,3,2,3,0,0,0,0,1,Tuesday,43,10,0,0,0,0,0,8,3,2,3,6,2,2,2,0,0,0,0,0,0,0,0,0,8,8,,,0:00:00,0:00:00,0:00:00,0:00:00,,
10/21/2024,1,1,4,3,3,0,0,0,0,0,Monday,43,10,0,0,0,0,0,10,4,3,3,8,3,2,3,0,1,0,0,0,0,0,0,0,10,8,65,0:30,2:25:00,4:43:00,0:48:00,0:00:00,22:05,6:01
10/20/2024,0,0,2,3,3,2.5,0.5,0,0,6,Sunday,42,10,1,1,1,0,0,8,2,3,3,10,4,3,3,1,1,0,0,0,0,0,0,0,8,8.666666667,,,0:00:00,0:00:00,0:00:00,0:00:00,,
10/19/2024,0,0,3,3,3,1.5,0,2.5,0,5,Saturday,42,10,1,1,0,1,0,9,3,3,3,8,2,3,3,0,0,2.5,0.5,0,1,1,0,0,9,9,,,0:00:00,0:00:00,0:00:00,0:00:00,,
10/18/2024,1,0,2,2,3,3.5,1,0,0,4,Friday,42,10,0,1,1,0,0,7,2,2,3,9,3,3,3,0,0,1.5,0,2.5,1,0,1,0,7,8,91,23:30,1:34:00,7:08:00,0:43:00,0:02:00,21:56,7:23
10/17/2024,0,0,2,2,3,3,1,0,0,3,Thursday,42,10,0,1,1,0,0,7,2,2,3,7,2,2,3,1,0,3.5,1,0,1,1,0,0,7,7.666666667,,,0:00:00,0:00:00,0:00:00,0:00:00,,
10/16/2024,1,0,3,3,3,0,0.5,0.5,0,2,Wednesday,42,10,0,0,1,1,0,9,3,3,3,7,2,2,3,0,0,3,1,0,1,1,0,0,9,7.666666667,83,0:47,0:39:00,6:22:00,0:54:00,0:00:00,0:08,8:03
10/15/2024,0,1,4,3,3,2,0,1,0,1,Tuesday,42,10,0,1,0,1,0,10,4,3,3,9,3,3,3,1,0,0,0.5,0.5,0,1,1,0,10,8.666666667,67,22:31,0:00:00,5:53:00,1:30:00,0:02:00,22:31,5:56
10/14/2024,1,1,4,4,3,0,0,0,0,0,Monday,42,10,0,0,0,0,0,11,4,4,3,10,4,3,3,0,1,2,0,1,1,0,1,0,11,10,,,0:00:00,0:00:00,0:00:00,0:00:00,,
10/13/2024,0,0,3,3,3,1,0.5,0,0,6,Sunday,41,10,1,1,1,0,0,9,3,3,3,11,4,4,3,1,1,0,0,0,0,0,0,0,9,10,,,0:00:00,0:00:00,0:00:00,0:00:00,,
10/12/2024,0,0,3,4,4,4,1,0,0,5,Saturday,41,10,1,1,1,0,0,11,3,4,4,9,3,3,3,0,0,1,0.5,0,1,1,0,0,11,10.33333333,83,23:23,1:51:00,6:59:00,0:43:00,0:07:00,21:32,7:12
10/11/2024,0,1,3,3,3,3,1,0,0,4,Friday,41,10,0,1,1,0,0,9,3,3,3,11,3,4,4,0,0,4,1,0,1,1,0,0,9,9.666666667,66,0:17,1:38:00,5:17:00,0:35:00,0:00:00,22:39,6:09
10/10/2024,0,1,3,2,2,2,0,1,0,3,Thursday,41,10,0,1,0,1,0,7,3,2,2,9,3,3,3,0,1,3,1,0,1,1,0,0,7,9,88,22:48,0:28:00,6:37:00,0:37:00,0:01:00,22:20,6:03
10/8/2024,1,1,3,3,,0,0,0,0,1,Tuesday,41,10,0,0,0,0,0,,3,3,3,9,4,2,3,0,0,0,0,0,0,0,0,0,9,8.333333333,90,22:26,0:17:00,6:58:00,0:56:00,0:02:00,22:09,6:22
10/9/2024,0,0,4,2,3,0,0,0,0,2,Wednesday,41,10,0,0,0,0,0,9,4,2,3,7,3,2,2,0,1,2,0,1,1,0,1,0,9,8.333333333,74,23:30,1:04:00,5:57:00,0:48:00,0:00:00,22:26,6:15
10/7/2024,1,1,4,3,3,0,0,0,0,0,Monday,41,10,0,0,0,0,0,10,4,3,3,,3,3,,1,1,0,0,0,0,0,0,0,10,9.333333333,,,,,,,,
10/6/2024,0,0,3,3,3,1,0.5,0,0,6,Sunday,40,10,1,1,1,0,0,9,3,3,3,10,4,3,3,1,1,0,0,0,0,0,0,0,9,9.333333333,,,,,,,,
10/5/2024,0,0,2,3,3,4,0,0,0,5,Saturday,40,10,1,1,0,0,0,8,2,3,3,9,3,3,3,0,0,1,0.5,0,1,1,0,0,8,9,,,,,,,,
10/4/2024,0,0,2,3,3,3.5,0,0.5,0,4,Friday,40,10,0,1,0,1,0,8,2,3,3,8,2,3,3,0,0,4,0,0,1,0,0,0,8,8.333333333,,,,,,,,
10/3/2024,0,0,3,3,2,0,0,0,0,3,Thursday,40,10,0,0,0,0,0,8,3,3,2,8,2,3,3,0,0,3.5,0,0.5,1,0,1,0,8,8,,,,,,,,
10/2/2024,0,0,,,,0,0,0,0,2,Wednesday,40,10,0,0,0,0,0,,3,3,2.25,8,3,3,2,0,0,0,0,0,0,0,0,0,8.25,8.083333333,,,,,,,,
10/1/2024,0,0,,,,0,0,0,0,1,Tuesday,40,10,0,0,0,0,0,,3,3,2.5,,,,,0,0,0,0,0,0,0,0,0,8.5,8.25,,,,,,,,
9/30/2024,0,0,,,,0,0,0,0,0,Monday,40,9,0,0,0,0,0,,3,3,2.75,,,,,0,0,0,0,0,0,0,0,0,8.75,8.5,,,,,,,,
9/29/2024,0,0,3,3,3,1,0,0,0,6,Sunday,39,9,1,1,0,0,0,9,3,3,3,,,,,0,0,0,0,0,0,0,0,0,9,8.75,,,,,,,,
9/28/2024,0,0,2,3,4,1.2,0,0,0,5,Saturday,39,9,1,1,0,0,0,9,2,3,4,9,3,3,3,0,0,1,0,0,1,0,0,0,9,8.916666667,,,,,,,,
9/27/2024,0,1,2,2,3,5,0,0.5,0,4,Friday,39,9,0,1,0,1,0,7,2,2,3,9,2,3,4,0,0,1.2,0,0,1,0,0,0,7,8.333333333,,,,,,,,
9/26/2024,0,0,3,3,3,0,0,0,0,3,Thursday,39,9,0,0,0,0,0,9,3,3,3,7,2,2,3,0,1,5,0,0.5,1,0,1,0,9,8.333333333,,,,,,,,
9/25/2024,1,0,3,3,2,2,0,0,0,2,Wednesday,39,9,0,1,0,0,0,8,3,3,2,9,3,3,3,0,0,0,0,0,0,0,0,0,8,8,,,,,,,,
9/24/2024,0,1,2,2,2,0,0,0,0,1,Tuesday,39,9,0,0,0,0,0,6,2,2,2,8,3,3,2,1,0,2,0,0,1,0,0,0,6,7.666666667,,,,,,,,
