team_abbreviation,team_name,espn_id,location,nickname
ari,Arizona Cardinals,22,Arizona,Cardinals
atl,Atlanta Falcons,1,Atlanta,Falcons
bal,Baltimore Ravens,33,Baltimore,Ravens
buf,Buffalo Bills,2,Buffalo,Bills
car,Carolina Panthers,29,Carolina,Panthers
chi,Chicago Bears,3,Chicago,Bears
cin,Cincinnati Bengals,4,Cincinnati,Bengals
cle,Cleveland Browns,5,Cleveland,Browns
dal,Dallas Cowboys,6,Dallas,Cowboys
den,Denver Broncos,7,Denver,Broncos
det,Detroit Lions,8,Detroit,Lions
gb,Green Bay Packers,9,Green Bay,Packers
hou,Houston Texans,34,Houston,Texans
ind,Indianapolis Colts,11,Indianapolis,Colts
jax,Jacksonville Jaguars,30,Jacksonville,Jaguars
kc,Kansas City Chiefs,12,Kansas City,Chiefs
lv,Las Vegas Raiders,13,Las Vegas,Raiders
lac,Los Angeles Chargers,24,Los Angeles,Chargers
lar,Los Angeles Rams,14,Los Angeles,Rams
mia,Miami Dolphins,15,Miami,Dolphins
min,Minnesota Vikings,16,Minnesota,Vikings
ne,New England Patriots,17,New England,Patriots
no,New Orleans Saints,18,New Orleans,Saints
nyg,New York Giants,19,New York,Giants
nyj,New York Jets,20,New York,Jets
phi,Philadelphia Eagles,21,Philadelphia,Eagles
pit,Pittsburgh Steelers,23,Pittsburgh,Steelers
sf,San Francisco 49ers,25,San Francisco,49ers
sea,Seattle Seahawks,26,Seattle,Seahawks
tb,Tampa Bay Buccaneers,27,Tampa Bay,Buccaneers
ten,Tennessee Titans,10,Tennessee,Titans
wsh,Washington Commanders,28,Washington,Commanders
