Team,FPI,Abbrev,FPI_Rank,EPA_Off,EPA_Def,EPA_ST,SOS_Rank,Rem_SOS_Rank,Game_Control_Rank,Wins,Losses,Ties,Proj_Wins,Proj_Losses,Playoff_Pct
Los Angeles Rams,5.854,LAR,1.0,4.114,1.635,0.105,0.0,3.0,0.0,0.0,0.0,0.0,11.26,5.688,84.9
Buffalo Bills,4.11,BUF,2.0,3.944,0.16,0.006,0.0,19.0,0.0,0.0,0.0,0.0,10.731,6.216,84.1
Seattle Seahawks,3.552,SEA,3.0,1.25,2.139,0.164,0.0,6.0,0.0,0.0,0.0,0.0,10.183,6.762,68.0
Baltimore Ravens,3.451,BAL,4.0,2.808,0.678,-0.035,0.0,28.0,0.0,0.0,0.0,0.0,10.658,6.29,79.8
San Francisco 49ers,2.961,SF,5.0,2.998,-0.227,0.191,0.0,11.0,0.0,0.0,0.0,0.0,10.007,6.937,63.8
Los Angeles Chargers,2.9,LAC,6.0,0.975,1.599,0.326,0.0,7.0,0.0,0.0,0.0,0.0,9.754,7.188,66.2
Green Bay Packers,2.718,GB,7.0,2.98,-0.126,-0.136,0.0,14.0,0.0,0.0,0.0,0.0,9.889,7.051,61.9
Detroit Lions,2.624,DET,8.0,2.575,0.003,0.046,0.0,31.0,0.0,0.0,0.0,0.0,10.452,6.494,71.4
Kansas City Chiefs,2.548,KC,9.0,1.674,0.907,-0.033,0.0,17.0,0.0,0.0,0.0,0.0,9.873,7.07,68.0
Philadelphia Eagles,2.082,PHI,10.0,0.746,1.565,-0.23,0.0,16.0,0.0,0.0,0.0,0.0,9.758,7.184,62.8
Dallas Cowboys,1.879,DAL,11.0,1.883,-0.219,0.216,0.0,4.0,0.0,0.0,0.0,0.0,9.206,7.733,51.9
Cincinnati Bengals,1.839,CIN,12.0,2.578,-0.748,0.008,0.0,32.0,0.0,0.0,0.0,0.0,10.106,6.837,70.7
Houston Texans,1.67,HOU,13.0,-0.468,1.953,0.185,0.0,10.0,0.0,0.0,0.0,0.0,9.311,7.626,58.9
New England Patriots,1.498,NE,14.0,1.101,0.58,-0.183,0.0,22.0,0.0,0.0,0.0,0.0,9.348,7.594,59.4
Denver Broncos,1.46,DEN,15.0,0.104,1.384,-0.029,0.0,18.0,0.0,0.0,0.0,0.0,9.183,7.756,54.2
Jacksonville Jaguars,1.124,JAX,16.0,0.104,0.842,0.178,0.0,23.0,0.0,0.0,0.0,0.0,9.002,7.939,52.4
Chicago Bears,1.11,CHI,17.0,0.63,0.442,0.038,0.0,12.0,0.0,0.0,0.0,0.0,9.075,7.861,45.5
Tampa Bay Buccaneers,0.035,TB,18.0,0.519,-0.668,0.184,0.0,20.0,0.0,0.0,0.0,0.0,8.303,8.636,45.4
Indianapolis Colts,-0.359,IND,19.0,0.348,-0.763,0.056,0.0,26.0,0.0,0.0,0.0,0.0,8.383,8.551,39.2
Minnesota Vikings,-0.4,MIN,20.0,-2.18,1.585,0.196,0.0,15.0,0.0,0.0,0.0,0.0,8.262,8.679,29.7
Pittsburgh Steelers,-0.558,PIT,21.0,-1.048,0.212,0.277,0.0,25.0,0.0,0.0,0.0,0.0,8.503,8.437,39.2
Washington Commanders,-1.4,WSH,22.0,-0.074,-1.207,-0.119,0.0,5.0,0.0,0.0,0.0,0.0,7.339,9.602,18.9
New York Giants,-1.528,NYG,23.0,-0.452,-0.976,-0.1,0.0,8.0,0.0,0.0,0.0,0.0,7.465,9.479,19.7
Atlanta Falcons,-1.802,ATL,24.0,-1.054,-1.12,0.371,0.0,24.0,0.0,0.0,0.0,0.0,7.665,9.27,31.7
New Orleans Saints,-2.817,NO,25.0,-2.335,-0.44,-0.041,0.0,30.0,0.0,0.0,0.0,0.0,7.419,9.521,25.7
Carolina Panthers,-2.903,CAR,26.0,-2.106,-0.726,-0.07,0.0,13.0,0.0,0.0,0.0,0.0,6.724,10.211,17.3
Tennessee Titans,-4.016,TEN,27.0,-3.366,-0.527,-0.123,0.0,21.0,0.0,0.0,0.0,0.0,6.322,10.623,9.6
Las Vegas Raiders,-4.673,LV,28.0,-3.587,-0.933,-0.153,0.0,9.0,0.0,0.0,0.0,0.0,5.674,11.275,5.0
New York Jets,-4.702,NYJ,29.0,-3.271,-1.631,0.201,0.0,27.0,0.0,0.0,0.0,0.0,5.975,10.979,6.5
Cleveland Browns,-5.313,CLE,30.0,-5.176,-0.174,0.037,0.0,29.0,0.0,0.0,0.0,0.0,5.836,11.114,5.4
Arizona Cardinals,-5.382,ARI,31.0,-2.655,-2.578,-0.148,0.0,1.0,0.0,0.0,0.0,0.0,4.91,12.046,1.4
Miami Dolphins,-6.143,MIA,32.0,-3.558,-2.62,0.034,0.0,2.0,0.0,0.0,0.0,0.0,4.516,12.445,1.6
